LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS10M
53.55341,9.99181,1982,05,16,    0.08,   15.03,   23.43,    8.39,   16.34,    5.77,    2.40,    3.37,    4.09
53.55341,9.99181,1982,05,17,    3.07,    7.12,   20.12,   12.99,   16.22,    2.85,    0.21,    2.64,    0.96
53.55341,9.99181,1982,05,18,    4.94,    9.09,   20.75,   11.66,   16.56,    1.07,    0.08,    0.99,    0.60
53.55341,9.99181,1982,05,19,    7.70,    5.82,   16.67,   10.85,   13.91,    6.59,    0.35,    6.24,    3.23
53.55341,9.99181,1982,05,20,    2.59,    6.97,   15.63,    8.66,   12.85,    3.63,    0.91,    2.73,    2.52
53.55341,9.99181,1982,05,21,    0.57,    8.02,   18.57,   10.55,   14.31,    4.26,    0.50,    3.77,    2.14
53.55341,9.99181,1982,05,22,   10.32,    5.76,   16.20,   10.44,   13.31,    4.87,    0.95,    3.92,    2.93
53.55341,9.99181,1982,05,23,   10.81,    6.34,   16.20,    9.85,   13.22,    6.22,    1.49,    4.73,    3.76
53.55341,9.99181,1982,05,24,    2.62,    7.76,   15.81,    8.05,   12.06,    5.58,    1.48,    4.10,    3.72
53.55341,9.99181,1982,05,25,    0.66,    9.72,   18.44,    8.72,   13.96,    7.32,    1.88,    5.44,    4.69
53.55341,9.99181,1982,05,26,    0.03,   11.34,   22.38,   11.05,   16.95,    5.47,    2.65,    2.81,    4.23
53.55341,9.99181,1982,05,27,    1.37,   13.35,   25.08,   11.73,   19.08,    5.32,    2.62,    2.70,    4.14
53.55341,9.99181,1982,05,28,    1.30,    8.06,   17.37,    9.31,   14.25,    7.54,    3.58,    3.96,    5.72
53.55341,9.99181,1982,05,29,    0.03,    9.22,   17.21,    8.00,   12.67,    4.69,    2.23,    2.47,    3.59
53.55341,9.99181,1982,05,30,    0.00,   12.12,   19.54,    7.42,   14.20,    4.31,    2.10,    2.21,    3.33
53.55341,9.99181,1982,05,31,    0.00,   12.45,   21.85,    9.40,   16.09,    6.16,    3.28,    2.87,    4.68
53.55341,9.99181,1982,06,01,    0.04,   15.21,   26.54,   11.33,   20.07,    4.44,    1.10,    3.34,    2.93
53.55341,9.99181,1982,06,02,    0.00,   12.42,   27.87,   15.45,   21.89,    3.55,    1.44,    2.11,    2.45
53.55341,9.99181,1982,06,03,    0.02,   13.03,   28.20,   15.17,   21.70,    5.40,    3.00,    2.41,    4.25
53.55341,9.99181,1982,06,04,    0.03,   12.07,   28.28,   16.21,   22.40,    4.59,    2.67,    1.92,    3.79
53.55341,9.99181,1982,06,05,    0.18,   11.62,   28.16,   16.54,   22.49,    3.00,    0.77,    2.22,    2.02
53.55341,9.99181,1982,06,06,    0.15,    8.93,   24.68,   15.75,   20.06,    5.52,    2.25,    3.27,    4.02
53.55341,9.99181,1982,06,07,    0.27,    8.61,   22.10,   13.49,   18.51,    3.29,    0.41,    2.88,    2.25
53.55341,9.99181,1982,06,08,    0.02,   10.14,   21.21,   11.07,   16.50,    6.96,    1.15,    5.81,    4.49
53.55341,9.99181,1982,06,09,    0.04,    7.67,   17.90,   10.23,   14.41,    6.55,    0.88,    5.67,    4.32
53.55341,9.99181,1982,06,10,    0.39,    6.63,   16.55,    9.93,   13.53,    6.23,    1.23,    5.00,    4.77
53.55341,9.99181,1982,06,11,   11.24,   10.21,   17.91,    7.70,   13.62,    7.05,    2.14,    4.91,    5.35
53.55341,9.99181,1982,06,12,    2.79,    6.94,   17.49,   10.55,   14.29,    8.78,    4.16,    4.62,    6.49
53.55341,9.99181,1982,06,13,    3.14,    5.66,   13.81,    8.15,   11.35,   11.83,    4.94,    6.89,    8.33
53.55341,9.99181,1982,06,14,    1.15,    8.18,   14.62,    6.44,   10.96,    7.40,    4.77,    2.64,    5.75
53.55341,9.99181,1982,06,15,    1.01,    8.17,   15.15,    6.98,   11.57,    6.10,    3.13,    2.97,    4.69
53.55341,9.99181,1982,06,16,    1.03,    6.22,   13.89,    7.67,   10.83,    3.89,    1.08,    2.81,    2.35
53.55341,9.99181,1982,06,17,    0.01,    9.86,   16.01,    6.15,   11.31,    7.81,    2.53,    5.28,    4.87
53.55341,9.99181,1982,06,18,    1.71,   11.53,   16.55,    5.01,   11.73,    3.46,    1.55,    1.91,    2.57
